scenario,time_h,pf_t
Bare slope,0.0,0.0
Bare slope,0.25,0.0
Bare slope,0.5,0.0
Bare slope,0.75,0.0
Bare slope,1.0,0.0
Bare slope,1.25,0.0
Bare slope,1.5,0.0
Bare slope,1.75,0.0
Bare slope,2.0,0.0
Bare slope,2.25,0.0
Bare slope,2.5,0.0
Bare slope,2.75,0.0
Bare slope,3.0,0.0
Bare slope,3.25,0.0
Bare slope,3.5,0.0
Bare slope,3.75,0.0
Bare slope,4.0,0.0
Bare slope,4.25,0.0
Bare slope,4.5,0.0
Bare slope,4.75,0.0
Bare slope,5.0,0.0
Bare slope,5.25,0.0
Bare slope,5.5,0.0
Bare slope,5.75,0.0
Bare slope,6.0,0.0
Bare slope,6.25,0.0
Bare slope,6.5,0.0
Bare slope,6.75,0.0
Bare slope,7.0,0.0
Bare slope,7.25,0.0
Bare slope,7.5,0.0
Bare slope,7.75,0.0
Bare slope,8.0,3.3333333333333335e-05
Bare slope,8.25,3.3333333333333335e-05
Bare slope,8.5,6.666666666666667e-05
Bare slope,8.75,0.0002
Bare slope,9.0,0.0003333333333333333
Bare slope,9.25,0.0004
Bare slope,9.5,0.0005
Bare slope,9.75,0.0008333333333333334
Bare slope,10.0,0.001
Bare slope,10.25,0.0012666666666666666
Bare slope,10.5,0.0016
Bare slope,10.75,0.002033333333333333
Bare slope,11.0,0.0025
Bare slope,11.25,0.0032
Bare slope,11.5,0.003833333333333333
Bare slope,11.75,0.0048
Bare slope,12.0,0.005266666666666667
Bare slope,12.25,0.0062
Bare slope,12.5,0.0071333333333333335
Bare slope,12.75,0.008433333333333333
Bare slope,13.0,0.010233333333333334
Bare slope,13.25,0.0122
Bare slope,13.5,0.014233333333333334
Bare slope,13.75,0.0163
Bare slope,14.0,0.018733333333333334
Bare slope,14.25,0.021133333333333334
Bare slope,14.5,0.0238
Bare slope,14.75,0.026366666666666667
Bare slope,15.0,0.0291
Bare slope,15.25,0.03133333333333333
Bare slope,15.5,0.0343
Bare slope,15.75,0.0374
Bare slope,16.0,0.04136666666666667
Bare slope,16.25,0.0449
Bare slope,16.5,0.0488
Bare slope,16.75,0.05333333333333334
Bare slope,17.0,0.0573
Bare slope,17.25,0.06216666666666667
Bare slope,17.5,0.06673333333333334
Bare slope,17.75,0.0713
Bare slope,18.0,0.07333333333333333
Bare slope,18.25,0.07486666666666666
Bare slope,18.5,0.0769
Bare slope,18.75,0.07846666666666667
Bare slope,19.0,0.08026666666666667
Bare slope,19.25,0.082
Bare slope,19.5,0.08373333333333334
Bare slope,19.75,0.0854
Bare slope,20.0,0.08706666666666667
Bare slope,20.25,0.08876666666666666
Bare slope,20.5,0.09053333333333333
Bare slope,20.75,0.09226666666666666
Bare slope,21.0,0.09396666666666667
Bare slope,21.25,0.09586666666666667
Bare slope,21.5,0.09756666666666666
Bare slope,21.75,0.0995
Bare slope,22.0,0.10133333333333333
Bare slope,22.25,0.1035
Bare slope,22.5,0.1053
Bare slope,22.75,0.10716666666666666
Bare slope,23.0,0.10923333333333334
Bare slope,23.25,0.11083333333333334
Bare slope,23.5,0.11273333333333334
Bare slope,23.75,0.11463333333333334
Bare slope,24.0,0.11636666666666666
Bare slope,24.25,0.11823333333333333
Bare slope,24.5,0.1206
Bare slope,24.75,0.12253333333333333
Bare slope,25.0,0.12386666666666667
Bare slope,25.25,0.1258
Bare slope,25.5,0.12736666666666666
Bare slope,25.75,0.12933333333333333
Bare slope,26.0,0.1307
Bare slope,26.25,0.13296666666666668
Bare slope,26.5,0.1348
Bare slope,26.75,0.13673333333333335
Bare slope,27.0,0.13896666666666666
Bare slope,27.25,0.14033333333333334
Bare slope,27.5,0.1416
Bare slope,27.75,0.14343333333333333
Bare slope,28.0,0.14523333333333333
Bare slope,28.25,0.14696666666666666
Bare slope,28.5,0.14866666666666667
Bare slope,28.75,0.15046666666666667
Bare slope,29.0,0.15236666666666668
Bare slope,29.25,0.154
Bare slope,29.5,0.15573333333333333
Bare slope,29.75,0.1573
Bare slope,30.0,0.15406666666666666
Bare slope,30.25,0.1507
Bare slope,30.5,0.1474
Bare slope,30.75,0.1442
Bare slope,31.0,0.1412
Bare slope,31.25,0.1385
Bare slope,31.5,0.13506666666666667
Bare slope,31.75,0.1319
Bare slope,32.0,0.12896666666666667
Bare slope,32.25,0.1261
Bare slope,32.5,0.1234
Bare slope,32.75,0.12086666666666666
Bare slope,33.0,0.11736666666666666
Bare slope,33.25,0.11483333333333333
Bare slope,33.5,0.112
Bare slope,33.75,0.1096
Bare slope,34.0,0.10706666666666667
Bare slope,34.25,0.1042
Bare slope,34.5,0.10153333333333334
Bare slope,34.75,0.09916666666666667
Bare slope,35.0,0.09676666666666667
Bare slope,35.25,0.09463333333333333
Bare slope,35.5,0.09243333333333334
Bare slope,35.75,0.0903
Bare slope,36.0,0.0882
Bare slope,36.25,0.08643333333333333
Bare slope,36.5,0.08436666666666667
Bare slope,36.75,0.08236666666666667
Bare slope,37.0,0.08063333333333333
Bare slope,37.25,0.0786
Bare slope,37.5,0.0769
Bare slope,37.75,0.0746
Bare slope,38.0,0.07303333333333334
Bare slope,38.25,0.0711
Bare slope,38.5,0.06923333333333333
Bare slope,38.75,0.0677
Bare slope,39.0,0.06646666666666666
Bare slope,39.25,0.06483333333333334
Bare slope,39.5,0.06336666666666667
Bare slope,39.75,0.0617
Bare slope,40.0,0.05973333333333333
Bare slope,40.25,0.0583
Bare slope,40.5,0.056966666666666665
Bare slope,40.75,0.055733333333333336
Bare slope,41.0,0.05446666666666666
Bare slope,41.25,0.0532
Bare slope,41.5,0.052033333333333334
Bare slope,41.75,0.050333333333333334
Bare slope,42.0,0.04806666666666667
Bare slope,42.25,0.046266666666666664
Bare slope,42.5,0.04463333333333333
Bare slope,42.75,0.043166666666666666
Bare slope,43.0,0.041166666666666664
Bare slope,43.25,0.039433333333333334
Bare slope,43.5,0.0376
Bare slope,43.75,0.035833333333333335
Bare slope,44.0,0.03456666666666667
Bare slope,44.25,0.03356666666666667
Bare slope,44.5,0.031933333333333334
Bare slope,44.75,0.0309
Bare slope,45.0,0.029833333333333333
Bare slope,45.25,0.029166666666666667
Bare slope,45.5,0.027733333333333332
Bare slope,45.75,0.0268
Bare slope,46.0,0.025966666666666666
Bare slope,46.25,0.025066666666666668
Bare slope,46.5,0.0238
Bare slope,46.75,0.02263333333333333
Bare slope,47.0,0.0217
Bare slope,47.25,0.0206
Bare slope,47.5,0.0197
Bare slope,47.75,0.018833333333333334
Bare slope,48.0,0.01806666666666667
Bare slope,48.25,0.017233333333333333
Bare slope,48.5,0.0163
Bare slope,48.75,0.015633333333333332
Bare slope,49.0,0.014833333333333334
Bare slope,49.25,0.014133333333333333
Bare slope,49.5,0.0133
Bare slope,49.75,0.0127
Bare slope,50.0,0.0121
Bare slope,50.25,0.0114
Bare slope,50.5,0.010633333333333333
Bare slope,50.75,0.0102
Bare slope,51.0,0.0095
Bare slope,51.25,0.0089
Bare slope,51.5,0.008433333333333333
Bare slope,51.75,0.0079
Bare slope,52.0,0.0076
Bare slope,52.25,0.0073
Bare slope,52.5,0.006866666666666667
Bare slope,52.75,0.0065
Bare slope,53.0,0.0064
Bare slope,53.25,0.0061333333333333335
Bare slope,53.5,0.006
Bare slope,53.75,0.005733333333333333
Bare slope,54.0,0.0054
Bare slope,54.25,0.0052
Bare slope,54.5,0.005
Bare slope,54.75,0.004866666666666667
Bare slope,55.0,0.0047666666666666664
Bare slope,55.25,0.004433333333333333
Bare slope,55.5,0.0041333333333333335
Bare slope,55.75,0.003966666666666667
Bare slope,56.0,0.003766666666666667
Bare slope,56.25,0.003533333333333333
Bare slope,56.5,0.0033
Bare slope,56.75,0.0033
Bare slope,57.0,0.0031
Bare slope,57.25,0.003
Bare slope,57.5,0.0028666666666666667
Bare slope,57.75,0.0027
Bare slope,58.0,0.0024666666666666665
Bare slope,58.25,0.0023
Bare slope,58.5,0.0022333333333333333
Bare slope,58.75,0.0021666666666666666
Bare slope,59.0,0.002033333333333333
Bare slope,59.25,0.002
Bare slope,59.5,0.0019
Bare slope,59.75,0.0017333333333333333
Bare slope,60.0,0.0017333333333333333
Bare slope,60.25,0.0016
Bare slope,60.5,0.0015333333333333334
Bare slope,60.75,0.0015333333333333334
Bare slope,61.0,0.0014333333333333333
Bare slope,61.25,0.0013333333333333333
Bare slope,61.5,0.0012
Bare slope,61.75,0.0011666666666666668
Bare slope,62.0,0.0011333333333333334
Bare slope,62.25,0.0010666666666666667
Bare slope,62.5,0.001
Bare slope,62.75,0.0009666666666666667
Bare slope,63.0,0.0009333333333333333
Bare slope,63.25,0.0009333333333333333
Bare slope,63.5,0.0009
Bare slope,63.75,0.0008333333333333334
Bare slope,64.0,0.0008333333333333334
Bare slope,64.25,0.0007
Bare slope,64.5,0.0006666666666666666
Bare slope,64.75,0.0006666666666666666
Bare slope,65.0,0.0005666666666666667
Bare slope,65.25,0.0005
Bare slope,65.5,0.00046666666666666666
Bare slope,65.75,0.00046666666666666666
Bare slope,66.0,0.0004333333333333333
Bare slope,66.25,0.0004333333333333333
Bare slope,66.5,0.0004333333333333333
Bare slope,66.75,0.0004
Bare slope,67.0,0.0003333333333333333
Bare slope,67.25,0.0003333333333333333
Bare slope,67.5,0.0003333333333333333
Bare slope,67.75,0.0003333333333333333
Bare slope,68.0,0.0003333333333333333
Bare slope,68.25,0.0003333333333333333
Bare slope,68.5,0.0003
Bare slope,68.75,0.0002666666666666667
Bare slope,69.0,0.0002666666666666667
Bare slope,69.25,0.00023333333333333333
Bare slope,69.5,0.00023333333333333333
Bare slope,69.75,0.00023333333333333333
Bare slope,70.0,0.0002
Bare slope,70.25,0.0002
Bare slope,70.5,0.00013333333333333334
Bare slope,70.75,0.00013333333333333334
Bare slope,71.0,0.00013333333333333334
Bare slope,71.25,0.0001
Bare slope,71.5,6.666666666666667e-05
Bare slope,71.75,6.666666666666667e-05
Bare slope,72.0,6.666666666666667e-05
Bare slope,72.25,6.666666666666667e-05
Bare slope,72.5,6.666666666666667e-05
Bare slope,72.75,3.3333333333333335e-05
Bare slope,73.0,3.3333333333333335e-05
Bare slope,73.25,3.3333333333333335e-05
Bare slope,73.5,3.3333333333333335e-05
Bare slope,73.75,3.3333333333333335e-05
Bare slope,74.0,3.3333333333333335e-05
Bare slope,74.25,3.3333333333333335e-05
Bare slope,74.5,3.3333333333333335e-05
Bare slope,74.75,3.3333333333333335e-05
Bare slope,75.0,3.3333333333333335e-05
Bare slope,75.25,3.3333333333333335e-05
Bare slope,75.5,3.3333333333333335e-05
Bare slope,75.75,0.0
Bare slope,76.0,0.0
Bare slope,76.25,0.0
Bare slope,76.5,0.0
Bare slope,76.75,0.0
Bare slope,77.0,0.0
Bare slope,77.25,0.0
Bare slope,77.5,0.0
Bare slope,77.75,0.0
Bare slope,78.0,0.0
Bare slope,78.25,0.0
Bare slope,78.5,0.0
Bare slope,78.75,0.0
Bare slope,79.0,0.0
Bare slope,79.25,0.0
Bare slope,79.5,0.0
Bare slope,79.75,0.0
Bare slope,80.0,0.0
Bare slope,80.25,0.0
Bare slope,80.5,0.0
Bare slope,80.75,0.0
Bare slope,81.0,0.0
Bare slope,81.25,0.0
Bare slope,81.5,0.0
Bare slope,81.75,0.0
Bare slope,82.0,0.0
Bare slope,82.25,0.0
Bare slope,82.5,0.0
Bare slope,82.75,0.0
Bare slope,83.0,0.0
Bare slope,83.25,0.0
Bare slope,83.5,0.0
Bare slope,83.75,0.0
Bare slope,84.0,0.0
Bare slope,84.25,0.0
Bare slope,84.5,0.0
Bare slope,84.75,0.0
Bare slope,85.0,0.0
Bare slope,85.25,0.0
Bare slope,85.5,0.0
Bare slope,85.75,0.0
Bare slope,86.0,0.0
Bare slope,86.25,0.0
Bare slope,86.5,0.0
Bare slope,86.75,0.0
Bare slope,87.0,0.0
Bare slope,87.25,0.0
Bare slope,87.5,0.0
Bare slope,87.75,0.0
Bare slope,88.0,0.0
Bare slope,88.25,0.0
Bare slope,88.5,0.0
Bare slope,88.75,0.0
Bare slope,89.0,0.0
Bare slope,89.25,0.0
Bare slope,89.5,0.0
Bare slope,89.75,0.0
Bare slope,90.0,0.0
Bare slope,90.25,0.0
Bare slope,90.5,0.0
Bare slope,90.75,0.0
Bare slope,91.0,0.0
Bare slope,91.25,0.0
Bare slope,91.5,0.0
Bare slope,91.75,0.0
Bare slope,92.0,0.0
Bare slope,92.25,0.0
Bare slope,92.5,0.0
Bare slope,92.75,0.0
Bare slope,93.0,0.0
Bare slope,93.25,0.0
Bare slope,93.5,0.0
Bare slope,93.75,0.0
Bare slope,94.0,0.0
Bare slope,94.25,0.0
Bare slope,94.5,0.0
Bare slope,94.75,0.0
Bare slope,95.0,0.0
Bare slope,95.25,0.0
Bare slope,95.5,0.0
Bare slope,95.75,0.0
Bare slope,96.0,0.0
Cracked slope,0.0,0.0
Cracked slope,0.25,0.0
Cracked slope,0.5,0.0
Cracked slope,0.75,0.0
Cracked slope,1.0,0.0
Cracked slope,1.25,0.0
Cracked slope,1.5,0.0
Cracked slope,1.75,0.0
Cracked slope,2.0,0.0
Cracked slope,2.25,0.0
Cracked slope,2.5,0.0
Cracked slope,2.75,0.0
Cracked slope,3.0,0.0
Cracked slope,3.25,0.0
Cracked slope,3.5,0.0
Cracked slope,3.75,0.0
Cracked slope,4.0,0.0
Cracked slope,4.25,0.0
Cracked slope,4.5,0.0
